imgName,Vpresent,Vpl,Vpr,Vpc,safeToAcc
000001.jpg,1,1,1,1,0
000002.jpg,1,1,1,1,0
000003.jpg,1,1,1,1,0
000004.jpg,1,1,1,1,0
000005.jpg,1,1,1,1,0
000006.jpg,1,1,1,1,0
000007.jpg,1,1,1,1,0
000008.jpg,1,1,1,1,0
000009.jpg,1,1,1,1,0
000010.jpg,1,1,1,1,0
000011.jpg,1,1,1,1,0
000012.jpg,1,1,1,1,0
000013.jpg,1,1,1,1,0
000014.jpg,1,1,1,1,0
000015.jpg,1,1,1,1,0
000016.jpg,1,1,1,1,0
000017.jpg,1,1,1,1,0
000018.jpg,1,1,1,1,0
000019.jpg,1,1,1,1,0
000020.jpg,1,1,1,1,0
000021.jpg,1,1,1,1,0
000022.jpg,1,1,1,1,0
000023.jpg,1,1,1,1,0
000024.jpg,1,1,1,1,0
000025.jpg,1,1,1,1,0
000026.jpg,1,1,1,1,0
000027.jpg,1,1,1,1,0
000028.jpg,1,1,1,1,0
000029.jpg,1,1,1,1,0
000030.jpg,1,1,1,1,0
000031.jpg,1,1,1,1,0
000032.jpg,1,1,1,1,0
000033.jpg,1,1,1,1,0
000034.jpg,1,1,1,1,0
000035.jpg,1,1,1,1,0
000036.jpg,1,1,1,1,0
000037.jpg,1,1,1,1,0
000038.jpg,1,1,1,1,0
000039.jpg,1,1,1,1,0
000040.jpg,1,1,1,1,0
000041.jpg,1,1,1,1,0
000042.jpg,1,1,1,1,0
000043.jpg,1,1,1,1,0
000044.jpg,1,1,1,1,0
000045.jpg,1,1,1,1,0
000046.jpg,1,1,1,1,0
000047.jpg,1,1,1,1,0
000048.jpg,1,1,1,1,0
000049.jpg,1,1,1,1,0
000050.jpg,1,1,1,1,0
000051.jpg,1,1,1,1,0
000052.jpg,1,1,1,1,0
000053.jpg,1,1,1,1,0
000054.jpg,1,1,1,1,0
000055.jpg,1,1,1,1,0
000056.jpg,1,1,1,1,0
000057.jpg,1,1,1,1,0
000058.jpg,1,1,1,1,0
000059.jpg,1,1,1,1,0
000060.jpg,1,1,1,1,0
000061.jpg,1,1,1,1,0
000062.jpg,1,1,1,1,0
